m,default_short_warmup,default_long_warmup,old_short_warmup,old_long_warmup
128,13.172122192382812,16.26031036376953,99.68270874023438,157.00479736328123
256,13.035801696777344,15.866677856445314,99.156787109375,155.09566650390624
384,12.93981475830078,15.805488586425783,99.23234863281249,155.44112548828127
512,12.936399841308594,15.860694885253906,99.5135986328125,156.2333984375
640,12.829327392578124,15.808515930175782,98.91352539062501,155.63693847656248
768,12.976307678222657,15.908677673339845,98.74061889648438,155.3266357421875
896,12.938278198242188,15.859251403808592,98.16371459960938,156.2601318359375
1024,12.947705078125,15.82288055419922,98.5917236328125,154.57935791015626
1152,12.923493957519533,15.821667480468749,98.53797607421876,156.34381103515625
1280,13.184144592285156,15.847593688964844,99.61932373046875,155.9857421875
1408,13.018521118164061,15.985638427734376,99.23565673828125,156.74732666015626
1536,12.88250274658203,15.921778869628904,99.33762817382814,155.8266357421875
1664,12.968377685546875,16.023724365234372,99.28067626953126,155.62784423828126
1792,13.044995117187499,15.856655883789063,99.46033935546875,156.589599609375
1920,12.909158325195312,15.746665954589844,99.31958618164062,156.37071533203127
