dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.5178,249.0898,50.8433,1.0466
cuda,beit_base_patch16_224,64,1.3808,76.2730,35.8686,0.9891
cuda,coat_lite_mini,128,1.9119,59.9884,107.5691,1.0199
cuda,convmixer_768_32,32,1.1188,280.5909,30.5495,0.9999
cuda,convnext_base,64,1.5154,187.6865,86.8724,1.0388
cuda,crossvit_9_240,128,1.1084,73.6976,127.3324,0.8712
cuda,cspdarknet53,64,1.4269,80.5769,143.0038,1.0140
cuda,deit_base_distilled_patch16_224,64,1.1606,56.9498,43.1671,0.9363
cuda,dla102,128,1.5000,130.2721,109.8292,1.0331
cuda,dm_nfnet_f0,128,1.5427,85.5275,72.3151,1.0713
cuda,dpn107,32,1.2290,88.6700,106.4278,0.9651
cuda,eca_botnext26ts_256,128,1.4806,78.5176,109.0749,1.0043
cuda,ese_vovnet19b_dw,128,1.3617,47.4812,100.9296,0.9912
cuda,fbnetc_100,128,1.5451,55.6768,181.4502,0.9548
cuda,gernet_l,128,1.1972,110.0320,322.8147,0.9712
cuda,ghostnet_100,128,1.9732,109.5737,857.2503,1.0223
cuda,gluon_inception_v3,128,1.5171,249.3557,51.5154,1.0466
cuda,gmixer_24_224,128,1.3865,120.1106,57.1614,1.1584
cuda,gmlp_s16_224,128,1.5577,97.8372,88.6459,1.2023
cuda,hrnet_w18,128,1.3844,261.6053,306.9125,0.9923
cuda,inception_v3,128,1.5074,110.5696,50.1078,1.0466
cuda,jx_nest_base,32,1.2474,102.5924,113.0880,0.9607
cuda,lcnet_050,128,1.6730,19.9120,349.8594,0.9464
cuda,mixer_b16_224,128,1.1976,210.9193,33.7298,0.9948
cuda,mixnet_l,128,1.2221,351.5791,215.1208,0.9908
cuda,mnasnet_100,128,1.7224,87.7733,364.3576,0.9410
cuda,mobilenetv2_100,128,1.4988,96.3651,292.1943,1.1173
cuda,mobilenetv3_large_100,128,1.5528,41.0051,371.8128,0.9716
cuda,mobilevit_s,64,1.6996,115.6441,329.4215,1.0071
cuda,nfnet_l0,128,1.5181,70.8688,80.0002,0.9691
cuda,pit_b_224,64,1.2365,59.3910,38.0554,0.9329
cuda,pnasnet5large,16,1.2268,178.6904,148.4485,1.2797
cuda,poolformer_m36,64,1.1582,127.6999,101.0390,1.1927
cuda,regnety_002,128,1.2455,34.8459,100.7734,0.8665
cuda,repvgg_a2,128,1.2441,62.1814,57.5850,0.9739
cuda,res2net101_26w_4s,64,1.0198,104.4644,145.6725,0.9491
cuda,res2net50_14w_8s,128,1.3090,114.4033,120.7570,0.9612
cuda,res2next50,128,1.2123,313.3598,94.1885,0.9546
cuda,resmlp_12_224,128,1.3173,53.1154,45.7028,1.0342
cuda,resnest101e,64,1.4064,118.7222,462.0968,1.0831
cuda,rexnet_100,128,1.4485,56.8023,287.6423,1.0442
cuda,selecsls42b,128,1.3932,46.7064,81.6375,0.9734
cuda,spnasnet_100,128,1.5489,47.0097,102.9059,0.9454
cuda,swin_base_patch4_window7_224,64,1.3885,109.9669,110.4749,0.9043
cuda,swsl_resnext101_32x16d,32,0.9941,120.9139,55.7669,0.9833
cuda,tf_efficientnet_b0,128,1.5139,57.7030,148.3303,1.0730
cuda,tf_mixnet_l,128,1.2278,160.2563,140.3560,1.0676
cuda,tinynet_a,128,1.3763,54.3463,150.2691,1.0718
cuda,tnt_s_patch16_224,128,2.7470,120.7721,70.5337,1.0505
cuda,twins_pcpvt_base,64,1.1885,150.1564,151.5579,1.0541
cuda,visformer_small,128,1.1821,77.5725,64.7401,1.0220
cuda,vit_base_patch16_224,64,1.1438,57.4207,36.2583,0.9381
cuda,volo_d1_224,0,0.0000
